case_id,category,phase,priority,scenario,steps,assertions,automation,commands
A1,auto,P0,P0,基础播放稳定性,"播放30s并多次seek",无报错且可正常stop,yes,"powershell -ExecutionPolicy Bypass -File scripts/audio-smoke.ps1 -TrackPath .\Eagles_Hotel_California.flac -PlayMs 30000 -SeekCount 4 -SeekSeconds 12"
A2,auto,P1,P0,CPU干扰抗压,"播放120s并注入8线程CPU压力",underrunEvents<=20且不中断,yes,"cargo run --manifest-path apps/desktop/src-tauri/Cargo.toml -- --audio-smoke --path .\Eagles_Hotel_California.flac --play-ms 120000 --stress-cpu-threads 8 --max-underrun-events 20"
A3,auto,P1,P1,后端切换鲁棒性,"播放中切换wasapi-exclusive/wasapi/rodio-cpal",无crash且不进入永久error,yes,"powershell -ExecutionPolicy Bypass -File scripts/audio-smoke.ps1 -TrackPath .\Eagles_Hotel_California.flac -SwitchBackends \"wasapi-exclusive,wasapi,rodio-cpal\" -SwitchIntervalMs 1200"
A4,auto,P2,P1,高频切曲+crossfade,"双曲目轮换并crossfade",无click爆音且无deadlock,yes,"powershell -ExecutionPolicy Bypass -File scripts/audio-smoke.ps1 -TrackPath .\Eagles_Hotel_California.flac -SwitchTracks \".\Eagles_Hotel_California.flac,.\Eagles_Hotel_California.flac\" -SwitchTrackIntervalMs 1000 -CrossfadeMs 300"
RQ1,auto,P2,P0,块序列连续性,"高压场景20分钟记录block seq",无seq回退/异常跳变且有可审计日志,yes,"cargo test --manifest-path apps/desktop/src-tauri/Cargo.toml"
RQ2,auto,P2,P1,回压与恢复,"人为降解码吞吐触发backpressure",无busy-loop且可自动恢复,yes,"cargo test --manifest-path apps/desktop/src-tauri/Cargo.toml"
M1,manual,P1,P0,播放+音乐库滚动,"播放中音乐库与专辑页连续滚动1分钟",无连续杂音且曲线可恢复,no,"N/A"
M2,manual,P1,P0,播放+外部看图操作,"播放中执行删图/切图/批量浏览",短瞬态后1~2秒恢复稳定,no,"N/A"
M3,manual,P1,P1,后台播放稳定性,"最小化后前台运行高负载应用10分钟",不中断且无持续破音,no,"N/A"
M4,manual,P2,P1,长稳播放,"连续播放2小时含切曲与seek",无内存异常增长趋势,no,"N/A"
B1,manual,P3,P0,TransportExact约束验证,"TransportExact开启后尝试注入传输链二次增益/重采样",冲突注入全部被拒绝并提示,no,"N/A"
B2,manual,P3,P1,TransportExact采样率协商,"切换44.1k/48k/96k文件",协商成功或可回退并提示,no,"N/A"
B3,auto,P3,P2,TransportExact数字一致性,"24-bit样本在transport-exact路径做样本模式往返回归",样本位模式一致（包含Int32容器低8位归零）,yes,"cargo test --manifest-path apps/desktop/src-tauri/Cargo.toml transport_exact_pcm24_preserves_sample_mode_for_grid_values"
B4,auto,P3,P1,TransportExact量化容器验证,"24-bit内容经TransportExact输出",输出容器为Int32且低8bit置零,yes,"cargo test --manifest-path apps/desktop/src-tauri/Cargo.toml"
Q1,auto,P4,P1,量化回归,"旧round-only与新dither路径对比",低电平线性指标优于旧路径,yes,"cargo test --manifest-path apps/desktop/src-tauri/Cargo.toml"
S1,manual,P4,P0,镜像混叠抑制,"高频扫频与多音信号做升频",阻带镜像能量低于HQ档阈值,no,"N/A"
S2,manual,P4,P1,通带纹波验证,"白噪+正弦频响估计",通带纹波满足阈值且跨设备一致,no,"N/A"
S3,manual,P4,P1,ISP防削波验证,"使用易触发ISP片段对比旧新路径",新路径ISP超限事件显著更少,no,"N/A"
S4,manual,P4,P2,相位模式验证,"线性相位/最小相位对比",模式切换稳定且无毛刺,no,"N/A"
S5,auto,P4,P0,HQ SRC阻带指标验证,"44.1->48/96固定比率离线测评",阻带衰减>=140dB,yes,"cargo test --manifest-path apps/desktop/src-tauri/Cargo.toml"
