case_id,phase,scenario,steps,expected,priority
AAL-A-001,Phase A,Plugin load,"Import .pmpm, open visualizer analysis-lab",UI mounts without error,H
AAL-A-002,Phase A,Realtime spectrum,"Start playback and observe 10s",Spectrum curve updates continuously,H
AAL-A-003,Phase A,Waterfall update,"Observe waterfall during playback",Rows scroll and update without freeze,H
AAL-A-004,Phase A,Reference capture,"Click Capture Reference then continue playback",Diff metrics show finite values,H
AAL-A-005,Phase A,Clear reference,"Click Clear Reference",Diff metrics return placeholder/NA,M
AAL-A-006,Phase A,Unmount cleanup,"Close visualizer then reopen",No duplicate callbacks or accelerated updates,H
AAL-B-001,Phase B,Dual tap availability,"Call visualizer dual-tap API from plugin",Both pre/post frames received with ids,H
AAL-B-002,Phase B,Frame alignment,"Compare frameId between pre/post taps",Only matched frameIds used for diff,H
AAL-B-003,Phase B,Same-time diff stability,"Run 5min playback with dual diff",No drift explosion in diff metrics,M
AAL-B-004,Phase B,Dual mode default,"Open plugin and inspect diff mode",Dual Path mode selected by default,M
AAL-B-005,Phase B,Reference fallback,"Switch to Reference mode and capture baseline",Reference diff still works and updates,M
AAL-B-006,Phase B,Sandbox parity,"Run visualizer in sandbox runtime",Dual frame API behaves same as non-sandbox,H
AAL-C-001,Phase C,Export report,"Record session then export JSON/CSV",File contains timestamps and metric fields,M
AAL-C-002,Phase C,Crest factor indicator,"Run playback with transient-heavy track",Crest factor field updates continuously,M
AAL-C-003,Phase C,Frame jitter indicator,"Stress UI and observe frame jitter",Frame jitter field reflects callback/dispatch variance,M
AAL-C-004,Phase C,Band energy peak,"Play bass-heavy then treble-heavy clips",Band peak label changes with spectrum distribution,M
AAL-C-005,Phase C,Recorder bounded memory,"Run record mode >20k frames",Recorder row count remains bounded,H
AAL-D-001,Phase D,Long-run memory,"Run analyzer 60min",Memory growth remains bounded,H
AAL-D-002,Phase D,UI perf budget,"Run analyzer on 4K window",UI frame pacing stable/no severe jank,M
AAL-D-003,Phase D,Unmount remount idempotence,"Call mount twice on same container then unmount",No duplicate listeners and no stale render callbacks,H
AAL-D-004,Phase D,Recorder idle trimming,"Record large session then stop recording and keep analyzer alive",Recorder rows trimmed when memory threshold exceeded,M
AAL-D-005,Phase D,Render budget visibility,"Stress plugin UI for 5min",Render P95 and Render Overrun update with finite values,M
